1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
165,AR,Arkansas,3,n/a,,,,,District Votes:,,,,,,"190,935",,,,,,,
166,AR,Arkansas,4,H4AR04048 ,,Bruce,Westerman,"Westerman, Bruce",,R,"18,719",54.45%,,,"110,789",53.75%,,,,,W,
167,AR,Arkansas,4,H4AR04055 ,,Tommy ,Moll,"Moll, Tommy ",,R,"15,659",45.55%,,,,,,,,,,
168,AR,Arkansas,4,n/a,,,,,Party Votes:,R,"34,378",,,,,,,,,,,
169,AR,Arkansas,4,H4AR04063 ,,James Lee,Witt,"Witt, James Lee",,D,Unopposed,,,,"87,742",42.57%,,,,,,
170,AR,Arkansas,4,H4AR04071,,Ken,Hamilton,"Hamilton, Ken",,LIB,Unopposed,,,,"7,598",3.69%,,,,,,
171,AR,Arkansas,4,H4AR04030 ,,Janis K.,Percefull,"Percefull, Janis K.",,W,,,,,2,0.00%,,,,,,
172,AR,Arkansas,4,n/a,,,,,District Votes:,,"34,378",,,,"206,131",,,,,,,
173,AR,Arkansas,H,n/a,,,,,Total State Votes:,,"88,688",,,,"830,652",,,,,,,
174,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
175,,,,n/a,,,,,,,,,,,,,,,,,,
176,CA,California,1,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,"75,317",53.45%,,,"132,052",61.03%,,,,,W,
177,CA,California,1,H4CA01066,,Heidi,Hall,"Hall, Heidi",,D,"42,481",30.15%,,,"84,320",38.97%,,,,,,
178,CA,California,1,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",,R,"13,909",9.87%,,,,,,,,,,
179,CA,California,1,H4CA01074,,Dan,Levine,"Levine, Dan",,D,"9,213",6.54%,,,,,,,,,,
180,CA,California,1,n/a,,,,,District Votes:,,"140,920",,,,"216,372",,,,,,,
181,CA,California,2,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,"99,186",67.91%,,,"163,124",74.99%,,,,,W,
182,CA,California,2,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,"32,614",22.33%,,,"54,400",25.01%,,,,,,
183,CA,California,2,H2CA02118,,Andy,Caffrey,"Caffrey, Andy",,D,"14,245",9.75%,,,,,,,,,,
184,CA,California,2,n/a,,,,,District Votes:,,"146,045",,,,"217,524",,,,,,,
185,CA,California,3,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,"54,672",53.48%,,,"79,224",52.72%,,,,,W,
186,CA,California,3,H4CA03096,,Dan,Logue,"Logue, Dan",,R,"47,560",46.52%,,,"71,036",47.28%,,,,,,
187,CA,California,3,n/a,,,,,District Votes:,,"102,232",,,,"150,260",,,,,,,
188,CA,California,4,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,"80,999",56.19%,,,"126,784",60.05%,,,,,W,
189,CA,California,4,H4CA04102,,"Arthur ""Art""",Moore,"Moore, Arthur ""Art""",,R,"32,855",22.79%,,,"84,350",39.95%,,,,,,
190,CA,California,4,H4CA04110,,Jeffrey D.,Gerlach,"Gerlach, Jeffrey D.",,NOP,"30,300",21.02%,,,,,,,,,,
191,CA,California,4,n/a,,,,,District Votes:,,"144,154",,,,"211,134",,,,,,,
192,CA,California,5,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,"88,709",80.44%,,,"129,613",75.73%,,,,,W,
193,CA,California,5,H4CA05257,,James,Hinton,"Hinton, James",,NOP,"12,292",11.15%,,,"41,535",24.27%,,,,,,
194,CA,California,5,H4CA11099,,Douglas S.,Van Raam,"Van Raam, Douglas S.",,NOP,"9,279",8.41%,,,,,,,,,,
195,CA,California,5,n/a,,,,,District Votes:,,"110,280",,,,"171,148",,,,,,,
196,CA,California,6,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,D,"62,640",73.60%,,,"97,008",72.69%,,,,,W,
197,CA,California,6,H2CA06291,,"Joseph, Sr.",McCray,"McCray, Joseph, Sr.",,R,"22,465",26.40%,,,"36,448",27.31%,,,,,,
198,CA,California,6,n/a,,,,,District Votes:,,"85,105",,,,"133,456",,,,,,,
199,CA,California,7,H0CA03078,(I),Ami,Bera,"Bera, Ami",,D,"51,878",46.72%,,,"92,521",50.40%,,,,,W,
200,CA,California,7,H8CA03105,,Doug,Ose,"Ose, Doug",,R,"29,307",26.39%,,,"91,066",49.60%,,,,,,
201,CA,California,7,H4CA07055,,Igor,Birman,"Birman, Igor",,R,"19,431",17.50%,,,,,,,,,,
202,CA,California,7,H0CA11352,,Elizabeth,Emken,"Emken, Elizabeth",,R,"7,924",7.14%,,,,,,,,,,
203,CA,California,7,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LIB,"1,629",1.47%,,,,,,,,,,
204,CA,California,7,H4CA07063,,Phill A.,Tufi,"Tufi, Phill A.",,NOP,869,0.78%,,,,,,,,,,
205,CA,California,7,n/a,,,,,District Votes:,,"111,038",,,,"183,587",,,,,,,
206,CA,California,8,H2CA08164,(I),Paul,Cook,"Cook, Paul",,R,"40,007",58.10%,,,"77,480",67.65%,,,,,W,
207,CA,California,8,H6CA40234,,Bob,Conaway,"Conaway, Bob",,D,"12,885",18.71%,,,"37,056",32.35%,,,,,,
208,CA,California,8,H4CA08103,,Paul,Hannosh,"Hannosh, Paul",,R,"9,037",13.12%,,,,,,,,,,
209,CA,California,8,H4CA08129,,Odessia D.,Lee,"Lee, Odessia D.",,D,"6,930",10.06%,,,,,,,,,,
